102;220015001;3.00;C
102;220015002;3.00;C
102;220015003;3.00;C
102;220015004;2.75;C
102;220015005;2.75;C
102;220015006;3.00;C
102;220015007;2.75;C
102;220015008;1.75;D
102;220015009;3.00;C
102;220015010;1.00;F
102;220015011;1.00;F
102;220015012;2.00;D
102;220015013;1.75;D
102;220015014;1.75;D
102;220015015;2.75;C
102;220015016;3.00;C
102;220015017;2.00;D
102;220015018;2.75;C
102;220015019;2.75;C
102;220015020;1.75;D
102;220015021;2.00;D
102;220015022;2.75;C
102;220015023;2.00;D
102;220015024;2.00;D
102;220015025;2.75;C
108;210015001;1.25;D
108;210015002;3.00;C
108;210015003;1.75;D
108;210015004;2.75;C
108;210015005;3.00;C
108;210015006;1.00;F
108;210015007;2.00;D
108;210015008;1.00;F
108;210015009;1.00;F
108;210015010;2.75;C
108;210015011;3.00;C
108;210015012;3.00;C
108;210015013;1.25;D
108;210015014;1.50;C
108;210015015;1.25;D
108;210015016;1.50;C
108;210015017;2.75;C
108;210015018;2.75;C
108;210015019;2.00;D
108;210015020;2.00;D
108;210015021;3.00;C
108;210015022;2.00;D
108;210015023;2.00;D
108;210015024;3.00;C
108;210015025;3.00;C
